Genre; Année; Titre; Distributeur
Adventure;2003;The Lizzie McGuire Movie;Walt Disney
Adventure;2003;Rugrats Go Wild;Paramount Pictures
Adventure;2003;Good Boy!;MGM
Adventure;2003;Peter Pan;Universal
Adventure;2003;Sinbad: Legend of the Seven Seas;Dreamworks SKG
Adventure;2003;Piglet's Big Movie;Walt Disney
Adventure;2003;Looney Tunes: Back in Action;Warner Bros.
Adventure;2003;Timeline;Paramount Pictures
Adventure;2003;Harry Potter and the Chamber of Secrets;Warner Bros.
Adventure;2003;The Lion King;Walt Disney
Adventure;2003;The Wild Thornberrys Movie;Paramount Pictures
Adventure;2003;Spirited Away;Walt Disney
Adventure;2003;T-Rex: Back to the Cretaceous;IMAX Films
Adventure;2003;Star Trek: Nemesis;Paramount Pictures
Adventure;2003;Young Black Stallion;Walt Disney
Adventure;2003;Treasure Planet;Walt Disney
Adventure;2003;Les Triplettes de Belleville;Sony Pictures
Adventure;2003;The Legend of Johnny Lingo;Box Office History for Innovation Film Group
Adventure;2003;The Santa Clause 2;Walt Disney
Adventure;2003;Santa vs. The Snowman;IMAX Films
Adventure;2003;Pokemon Heroes;Miramax
Adventure;2003;Help! I'm a Fish;
Adventure;2003;The Lord of the Rings: The Fellowship of the Ring;New Line
Adventure;2003;Pinocchio;Miramax
Adventure;2003;Spy Kids 2: The Island of Lost Dreams;Miramax/Dimension
Adventure;2003;Gerry;ThinkFilm
Adventure;2003;Jonah: A VeggieTales Movie;Artisan
Adventure;2003;Across The Sea of Time;Box Office History for Sony Pictures Classics
Adventure;2003;The Fast Runner;Lot 47 Films
Adventure;2004;Shrek 2;Dreamworks SKG
Adventure;2004;Spider-Man 2;Sony Pictures
Adventure;2004;The Incredibles;Walt Disney
Adventure;2004;Harry Potter and the Prisoner of Azkaban;Warner Bros.
Adventure;2004;The Day After Tomorrow;20th Century Fox
Adventure;2004;Shark Tale;Dreamworks SKG
Adventure;2004;The Polar Express;Warner Bros.
Adventure;2004;National Treasure;Walt Disney
Adventure;2004;Ocean’s Twelve;Warner Bros.
Adventure;2004;Lemony Snicket's A Series of Unfortunate Events;Paramount Pictures
Adventure;2004;The Lord of the Rings: The Return of the King;New Line
Adventure;2004;Scooby-Doo 2: Monsters Unleashed;Warner Bros.
Adventure;2004;SpongeBob SquarePants: The Movie;Paramount Pictures
Adventure;2004;Garfield: The Movie;20th Century Fox
Adventure;2004;The Chronicles of Riddick;Universal
Adventure;2004;King Arthur;Walt Disney
Adventure;2004;Sky Captain and the World of Tomorrow;Paramount Pictures
Adventure;2004;Around the World in 80 Days;Walt Disney
Adventure;2004;Agent Cody Banks 2: Destination London;MGM
Adventure;2004;Yu-Gi-Oh;Warner Bros.
Adventure;2004;Two Brothers;Universal
Adventure;2004;Flight of the Phoenix;20th Century Fox
Adventure;2004;Catch That Kid;20th Century Fox
Adventure;2004;Peter Pan;Universal
Adventure;2004;Master and Commander: The Far Side of the World;20th Century Fox
Adventure;2004;Superbabies: Baby Geniuses 2;Sony Pictures
Adventure;2004;Thunderbirds;Universal
Adventure;2004;Teacher's Pet: The Movie;Walt Disney
Adventure;2004;Les Triplettes de Belleville;Sony Pictures
Adventure;2004;The Haunted Mansion;Walt Disney
Adventure;2004;Young Black Stallion;Walt Disney
Adventure;2004;Clifford's Really Big Movie;Warner Bros.
Adventure;2004;T-Rex: Back to the Cretaceous;IMAX Films
Adventure;2004;Santa vs. The Snowman;IMAX Films
Adventure;2004;Brother Bear;Walt Disney
Adventure;2004;Lakshya;UTV Communications
Adventure;2004;The Legend of Johnny Lingo;Box Office History for Innovation Film Group
Adventure;2004;Timeline;Paramount Pictures
Adventure;2004;Looney Tunes: Back in Action;Warner Bros.
Adventure;2004;The Snow Walker;
Adventure;2004;Tokyo Godfathers;IDP Distribution
Adventure;2004;Spy Kids 3-D: Game Over;Miramax/Dimension
Adventure;2004;Kaena: La prophétie;IDP Distribution
Adventure;2004;Across The Sea of Time;Box Office History for Sony Pictures Classics
Adventure;2004;Good Boy!;MGM
Adventure;2005;Star Wars Ep. III: Revenge of the Sith;20th Century Fox
Adventure;2005;Harry Potter and the Goblet of Fire;Warner Bros.
Adventure;2005;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;Walt Disney
Adventure;2005;Charlie and the Chocolate Factory;Warner Bros.
Adventure;2005;Madagascar;Dreamworks SKG
Adventure;2005;King Kong;Universal
Adventure;2005;Chicken Little;Walt Disney
Adventure;2005;Robots;20th Century Fox
Adventure;2005;Sahara;Paramount Pictures
Adventure;2005;Herbie: Fully Loaded;Walt Disney
Adventure;2005;Sky High;Walt Disney
Adventure;2005;Wallace & Gromit: The Curse of the Were-Rabbit;Dreamworks SKG
Adventure;2005;Corpse Bride;Warner Bros.
Adventure;2005;The Hitchhiker's Guide to the Galaxy;Walt Disney
Adventure;2005;Racing Stripes;Warner Bros.
Adventure;2005;The Legend of Zorro;Sony Pictures
Adventure;2005;The Adventures of Sharkboy and Lavagirl in 3-D;Miramax/Dimension
Adventure;2005;The Brothers Grimm;Miramax/Dimension
Adventure;2005;Zathura;Sony Pictures
Adventure;2005;Lemony Snicket's A Series of Unfortunate Events;Paramount Pictures
Adventure;2005;Valiant;Walt Disney
Adventure;2005;Into the Blue;Sony Pictures
Adventure;2005;Ocean’s Twelve;Warner Bros.
Adventure;2005;National Treasure;Walt Disney
Adventure;2005;Pooh's Heffalump Movie;Walt Disney
Adventure;2005;The Polar Express;Warner Bros.
Adventure;2005;Son of the Mask;New Line
Adventure;2005;The Incredibles;Walt Disney
Adventure;2005;Howl’s Moving Castle;Walt Disney
Adventure;2005;Flight of the Phoenix;20th Century Fox
Adventure;2005;SpongeBob SquarePants: The Movie;Paramount Pictures
Adventure;2005;T-Rex: Back to the Cretaceous;IMAX Films
Adventure;2005;Bunty Aur Babli;Yash Raj Films
Adventure;2005;Duma;Warner Bros.
Adventure;2005;Shark Tale;Dreamworks SKG
Adventure;2005;Young Black Stallion;Walt Disney
Adventure;2005;Santa vs. The Snowman;IMAX Films
Adventure;2006;Pirates of the Caribbean: Dead Man’s Chest;Walt Disney
Adventure;2006;Cars;Walt Disney
Adventure;2006;The Da Vinci Code;Sony Pictures
Adventure;2006;Superman Returns;Warner Bros.
Adventure;2006;Ice Age: The Meltdown;20th Century Fox
Adventure;2006;Over the Hedge;Paramount Pictures
Adventure;2006;Night at the Museum;20th Century Fox
Adventure;2006;Open Season;Sony Pictures
Adventure;2006;The Santa Clause 3: The Escape Clause;Walt Disney
Adventure;2006;The Pink Panther;Sony Pictures
Adventure;2006;Eight Below;Walt Disney
Adventure;2006;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;Walt Disney
Adventure;2006;Monster House;Sony Pictures
Adventure;2006;Barnyard: The Original Party Animals;Paramount Pictures
Adventure;2006;R.V.;Sony Pictures
Adventure;2006;Flushed Away;Paramount Pictures
Adventure;2006;Poseidon;Warner Bros.
Adventure;2006;Curious George;Universal
Adventure;2006;Eragon;20th Century Fox
Adventure;2006;Hoodwinked;Weinstein Co.
Adventure;2006;King Kong;Universal
Adventure;2006;Nanny McPhee;Universal
Adventure;2006;The Wild;Walt Disney
Adventure;2006;Garfield: A Tail of Two Kitties;20th Century Fox
Adventure;2006;The Ant Bully;Warner Bros.
Adventure;2006;Harry Potter and the Goblet of Fire;Warner Bros.
Adventure;2006;Everyone's Hero;20th Century Fox
Adventure;2006;Zoom;Sony Pictures
Adventure;2006;Hoot;New Line
